,adr,ame_d,count_accidents
276,PLACE DE LA PORTE MAILLOT,VOIE SECURISEE,1
277,PLACE DE LA REPUBLIQUE,MOINS SECURISEE,1
278,PLACE DE LA REPUBLIQUE,VOIE SECURISEE,3
279,PLACE DE LA SORBONNE,AUCUN,1
280,PLACE DENFERT ROCHEREAU,MOINS SECURISEE,1
281,PLACE DU CANADA,MOINS SECURISEE,2
282,PLACE DU CARROUSEL,MOINS SECURISEE,1
283,PLACE DU COLONEL FABIEN,VOIE SECURISEE,2
284,PLACE DU DIX HUIT JUIN 1940,MOINS SECURISEE,1
285,PLACE FRANZ LISZT,AUCUN,1
286,PLACE GABRIEL PERI,VOIE SECURISEE,1
287,PLACE JACQUES BONSERGENT,AUCUN,3
288,PLACE PIGALLE,VOIE SECURISEE,1
289,PLACE SAINT FERDINAND,VOIE SECURISEE,1
290,PLACE SAINT GEORGES,AUCUN,1
291,PLACE SAINT GERVAIS,AUCUN,1
292,PLACE SAINT MICHEL,MOINS SECURISEE,1
293,PLACE VALHUBERT,VOIE SECURISEE,2
294,PONT ALEXANDRE III,MOINS SECURISEE,1
295,PONT D AUSTERLITZ,MOINS SECURISEE,1
296,PONT D IENA,MOINS SECURISEE,1
297,PONT DE L ALMA,VOIE SECURISEE,1
298,PONT DE LA CONCORDE,MOINS SECURISEE,1
299,PONT DE SULLY,MOINS SECURISEE,2
300,PONT DE TOLBIAC,VOIE SECURISEE,1
301,PONT NATIONAL,VOIE SECURISEE,2
302,PONT ROYAL,VOIE SECURISEE,1
303,Paul vaillant couturier,AUCUN,1
304,QUAI ANATOLE FRANCE,VOIE SECURISEE,2
305,QUAI ANDRE CITROEN,VOIE SECURISEE,2
306,QUAI BRANLY,AUCUN,2
307,QUAI BRANLY,MOINS SECURISEE,4
308,QUAI BRANLY,VOIE SECURISEE,1
309,QUAI D AUSTERLITZ,AUCUN,1
310,QUAI D AUSTERLITZ,VOIE SECURISEE,3
311,QUAI D ORSAY,AUCUN,1
312,QUAI D ORSAY,MOINS SECURISEE,5
313,QUAI D ORSAY,VOIE SECURISEE,5
314,QUAI DE BERCY,VOIE SECURISEE,1
315,QUAI DE CONTI,VOIE SECURISEE,5
316,QUAI DE GESVRES,MOINS SECURISEE,1
317,QUAI DE GRENELLE,MOINS SECURISEE,1
318,QUAI DE GRENELLE,VOIE SECURISEE,2
319,QUAI DE L ARCHEVECHE,AUCUN,1
320,QUAI DE L HOTEL DE VILLE,MOINS SECURISEE,2
321,QUAI DE L HOTEL DE VILLE,VOIE SECURISEE,1
322,QUAI DE LA GARE,VOIE SECURISEE,1
323,QUAI DE LA GIRONDE,VOIE SECURISEE,1
324,QUAI DE LA RAPEE,VOIE SECURISEE,3
325,QUAI DE LA SEINE,AUCUN,4
326,QUAI DE LA SEINE,MOINS SECURISEE,1
327,QUAI DE LA TOURNELLE,AUCUN,3
328,QUAI DE LA TOURNELLE,VOIE SECURISEE,2
329,QUAI DE VALMY,MOINS SECURISEE,1
330,QUAI DE VALMY,VOIE SECURISEE,4
331,QUAI DES CELESTINS,VOIE SECURISEE,5
332,QUAI DES GRANDS AUGUSTINS,AUCUN,1
333,QUAI DES GRANDS AUGUSTINS,VOIE SECURISEE,2
334,QUAI DES TUILERIES,MOINS SECURISEE,2
335,QUAI DES TUILERIES,VOIE SECURISEE,2
336,QUAI FRANCOIS MAURIAC,MOINS SECURISEE,2
337,QUAI HENRI IV,VOIE SECURISEE,3
338,QUAI LOUIS BLERIOT,AUCUN,1
339,QUAI SAINT BERNARD,MOINS SECURISEE,5
340,QUAI SAINT EXUPERY,VOIE SECURISEE,1
